level,start users,reach rate,reach rate delta,stall users,APU,win users APU,lose times per lose user,win rate,win user rate,lose user rate,lose rate,booster user percent,avg booster per booster user,retry af lose rate,revive_rate,ad imp per user,inter user percent,inter ad imp per inter user,rw imp per user,rw user percent,rw ad imp per rw user,ad revenue,iap user percent,IAP revenue,iap count,ARPU,acc_ARPU,revenue,drop users,drop rate,drop bf complete,drop af lose,drop af win,drop af lose APU,avg lose play time,avg win play time,avg play time
31,482,0.09529458283906682,0.0031633056544088573,16,1.2240663900414939,1.2016985138004246,1.194444411265433,0.798304879080777,0.9771784232365145,0.07468879668049792,0.07288135593220339,0.23443983402489627,1.389380529743911,0.9722221952160502,0.06949152542372881,1.2136929458062877,0.7676348547717843,1.0486486486486486,0.4087136929460581,0.2800829875518672,1.4592592592592593,63.43643815327361,0.002074688792376164,7.260628903048402,1,0.14667441297992118,4.50128110527158,70.69706705632201,14,0.029045643153526972,0.42857142857142855,0.0,0.5714285714285714,,8052.7441673192,4648.936304745449,5256.287936720567
32,466,0.09213127718465797,0.0015816528272044287,8,1.1158798283261802,1.1082251082251082,1.3888888117283993,0.8884612821746302,0.9914163090128756,0.03862660944206009,0.04807692307692308,0.13948497854077252,1.1999999981538463,0.8888888395061756,0.032692307692307694,1.0407725319654995,0.8090128755364807,1.026525198938992,0.21030042918454936,0.1759656652360515,1.1951219512195121,45.75370197147951,0.0021459227421761315,19.99,1,0.14108090551819638,4.6423620107897765,65.74370197147951,4,0.008583690987124463,0.0,0.0,1.0,,9792.27996083088,4343.636362696182,4795.597534949569
33,460,0.09094503756425465,0.006326611308817715,32,1.3565217391304347,1.3302752293577982,1.8139534461871292,0.6987177773977244,0.9478260869565217,0.09347826086956522,0.125,0.28695652173913044,1.2499999990530304,0.9767441633315311,0.07371794871794872,1.2391304345132323,0.75,1.098550724637681,0.4152173913043478,0.3065217391304348,1.3546099290780143,56.04572869544689,0.0,0.0,0,0.12183854064227585,4.764200551432053,56.04572869544689,15,0.03260869565217391,0.4666666666666667,0.06666666666666667,0.4666666666666667,5.0,4030.8461486784026,4432.066512744938,4900.3715943773595
34,428,0.08461842625543693,0.004151838671411625,21,1.8037383177570094,1.7192118226600985,1.8124999773437502,0.5259066369734944,0.9485981308411215,0.18691588785046728,0.1878238341968912,0.4672897196261682,1.8749999990625001,0.9999999875000002,0.15932642487046633,1.927570093007577,0.8130841121495327,1.2586206896551724,0.9042056074766355,0.4462616822429907,2.026178010471204,87.3364498350675,0.0,0.0,0,0.204057125782868,4.968257677214921,87.3364498350675,11,0.02570093457943925,0.6363636363636364,0.09090909090909091,0.2727272727272727,4.0,4457.165514167472,5270.544333677206,6473.108891747168
35,408,0.08066429418742586,0.006326611308817715,32,1.7450980392156863,1.7180156657963446,2.854545402644629,0.5379212410325614,0.9387254901960784,0.13480392156862744,0.2205056179775281,0.46078431372549017,1.6010638289356045,0.9636363461157028,0.15168539325842698,1.629901960384828,0.75,1.1830065359477124,0.7426470588235294,0.4166666666666667,1.7823529411764707,75.45101023534805,0.0,0.0,0,0.18492894665526483,5.153186623870186,75.45101023534805,11,0.02696078431372549,0.5454545454545454,0.09090909090909091,0.36363636363636365,7.0,5159.649678242262,5789.945168201059,7072.742591282826
36,377,0.0745353894820087,0.0017793594306049821,9,1.0503978779840848,1.0428954423592494,1.1249998593750177,0.9419188612961573,0.9893899204244032,0.021220159151193633,0.022727272727272728,0.021220159151193633,1.1249999859375002,0.9999998750000157,0.0025252525252525255,0.9496021217640312,0.8249336870026526,1.022508038585209,0.10610079575596817,0.10344827586206896,1.0256410256410255,38.042221594433386,0.0,0.0,0,0.10090774958735646,5.254094373457542,38.042221594433386,3,0.007957559681697613,0.3333333333333333,0.0,0.6666666666666666,,20751.88865831235,5323.195709028633,5730.60209274068
37,368,0.07275603005140371,0.0007908264136022143,4,1.1875,1.182825484764543,1.181818128099176,0.8260867013233303,0.9809782608695652,0.059782608695652176,0.059496567505720827,0.20923913043478262,1.3506493488952607,0.9999999545454565,0.05491990846681922,1.116847825783465,0.75,1.0507246376811594,0.328804347826087,0.23097826086956522,1.423529411764706,39.85862944253079,0.0,0.0,0,0.10831149305035541,5.362405866507897,39.85862944253079,5,0.01358695652173913,0.4,0.0,0.6,,8673.230735872188,6266.947366685055,6855.8552953860835
38,364,0.0719652036378015,0.0025701858442071963,13,1.0769230769230769,1.0784313725490196,1.0909089917355463,0.9107139790452927,0.9807692307692307,0.03021978021978022,0.030612244897959183,0.1346153846153846,1.1020408140774678,0.9999999090909174,0.04846938775510204,1.0109890107112667,0.760989010989011,1.03971119133574,0.21978021978021978,0.17857142857142858,1.2307692307692308,35.15796920307252,0.0,0.0,0,0.09658782748096846,5.458993693988866,35.15796920307252,5,0.013736263736263736,0.6,0.0,0.4,,7130.833273909723,5409.392155347509,5735.336041806142
39,353,0.06979043100039542,0.0019770660340055358,10,1.4702549575070822,1.464705882352941,2.0285713706122466,0.6551058076707884,0.9631728045325779,0.09915014164305949,0.13680154142581888,0.3087818696883853,1.2935779804646075,0.9999999714285723,0.09441233140655106,1.3427762035856157,0.7677053824362606,1.154981549815498,0.45609065155807366,0.3087818696883853,1.4770642201834863,47.220163083949934,0.002832861181776597,19.99,1,0.1903970625607647,5.64939075654963,67.21016308394994,6,0.0169971671388102,1.0,0.0,0.0,,5320.901400956477,6041.014704105583,7019.209244034255
40,344,0.06801107156979043,0.0015816528272044287,8,1.4156976744186047,1.4078549848942599,1.4905660096119622,0.6796712764737866,0.9622093023255814,0.15406976744186046,0.162217659137577,0.36627906976744184,1.3333333322751324,0.9999999811320759,0.11704312114989733,1.4360465112104515,0.7645348837209303,1.1787072243346008,0.5348837209302325,0.375,1.426356589147287,54.42230120716335,0.0058139534714710655,12.98,2,0.19593692211384695,5.845327678663478,67.40230120716335,7,0.020348837209302327,0.42857142857142855,0.0,0.5714285714285714,,5302.607588224548,5441.99395605982,7287.807315295657
41,336,0.066429418742586,0.0035587188612099642,18,1.3601190476190477,1.3533123028391167,1.8378377881665464,0.6936540757102548,0.9434523809523809,0.11011904761904762,0.1487964989059081,0.3125,1.4190476176961453,0.9999999729729737,0.07658643326039387,1.300595237708156,0.7440476190476191,1.108,0.47619047619047616,0.30654761904761907,1.5533980582524272,42.754902603186544,0.0,0.0,0,0.1272467339380552,5.972574412601533,42.754902603186544,8,0.023809523809523808,0.75,0.125,0.125,4.0,7141.691165968102,5183.548894263864,6536.015582717918
